,marca,preço,link
1969,Fonte Carregador Para Asus Zenbook Ux21e-dh71 19v 2.37a By44,78.9,https://www.kabum.com.br//produto/311160/fonte-carregador-para-asus-zenbook-ux21e-dh71-19v-2-37a-by44
1970,Fonte Carregador Para Asus Zenbook Ux31e-rsl8 19v 2.1a By44,78.9,https://www.kabum.com.br//produto/365982/fonte-carregador-para-asus-zenbook-ux31e-rsl8-19v-2-1a-by44
2482,"Fonte Carregador Para HP Pavilion Tx2000, 18.5V, 3.5Ah, 65W - 712 - Bivolt",78.9,https://www.kabum.com.br//produto/376977/fonte-carregador-para-hp-pavilion-tx2000-18-5v-3-5ah-65w-712-bivolt
634,Fonte Carregador Para Acer Chromebook 11 N7 C731 19v 688,78.9,https://www.kabum.com.br//produto/293922/fonte-carregador-para-acer-chromebook-11-n7-c731-19v-688
1963,Fonte Carregador P/ Hp Compaq Presario C710br 18.5v 3.5a 712 - Voltagem De Entrada,78.9,https://www.kabum.com.br//produto/292212/fonte-carregador-p-hp-compaq-presario-c710br-18-5v-3-5a-712-voltagem-de-entrada
632,Fonte Carregador P/ Acer Swift 3 Sf314-52-573l 19v 65w 688,78.9,https://www.kabum.com.br//produto/294048/fonte-carregador-p-acer-swift-3-sf314-52-573l-19v-65w-688
370,Fonte Carregador Para Acer Swift 3 Sf314-51 Ultrabook 65w 688,78.9,https://www.kabum.com.br//produto/293578/fonte-carregador-para-acer-swift-3-sf314-51-ultrabook-65w-688
1971,Fonte Carregador Para Acer Chromebook Cb3-111 19v 2.37a By44,78.9,https://www.kabum.com.br//produto/365501/fonte-carregador-para-acer-chromebook-cb3-111-19v-2-37a-by44
961,Fonte Carregador P/ Hp Pavilion Dv5000 Series 18.5v 3.5a 712,78.9,https://www.kabum.com.br//produto/365912/fonte-carregador-p-hp-pavilion-dv5000-series-18-5v-3-5a-712
1665,Fonte Carregador Para Positivo Premium Xs7210 19v 2.1a 846,78.9,https://www.kabum.com.br//produto/329308/fonte-carregador-para-positivo-premium-xs7210-19v-2-1a-846
962,Fonte Carregador Compativel Com Notebook Lg R40 18.5v 3.5a 712,78.9,https://www.kabum.com.br//produto/303728/fonte-carregador-compativel-com-notebook-lg-r40-18-5v-3-5a-712
963,"Fonte Carregador Para Hp Hstnn-q22c 18,5v 3.5a 65w 712 - Bivolt",78.9,https://www.kabum.com.br//produto/292051/fonte-carregador-para-hp-hstnn-q22c-18-5v-3-5a-65w-712-bivolt
379,Fonte Carregador Compativel Com Samsung X40 Np550xcj-xf2br 3.16a Sa-06,78.9,https://www.kabum.com.br//produto/303719/fonte-carregador-compativel-com-samsung-x40-np550xcj-xf2br-3-16a-sa-06
